<details> <summary> <b>packages new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/openwrt/packages/compare/8db338fe2d731cd357c97de7b9857e2cb121103e...2f6bf10ac19a65d77a6973cd11a3ae0450ef6a3c)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
2f6bf10ac|Wei-Ting Yang|Wed Sep 16 20:32:16 2026 +0800|bash: update to 5.3 patch level 20
0a0450bf7|Josef Schlehofer|Wed Apr 29 00:12:20 2026 +0200|unzip: refresh patches
8942be4f6|Dirk Brenken|Sat Sep 19 19:50:03 2026 +0200|banip: release 1.9.0
fd6259a12|John Audia|Mon Jul 13 07:39:47 2026 -0400|zsh: update to 5.9.2
12aa1bf71|John Audia|Tue Jun 2 10:17:47 2026 -0400|zsh: update to 5.9.1
3fd8ff8bc|Wei-Ting Yang|Fri Sep 11 19:59:11 2026 +0800|expat: update to 2.8.4
b963c9048|Etienne Champetier|Sat Jul 4 16:24:00 2026 -0400|ci: remove keys last used by travis CI
e629a05d6|Jan Hák|Tue Aug 18 14:55:32 2026 +0200|knot: update to version 3.5.7
000b6611f|Jan Hák|Wed Jul 22 12:26:03 2026 +0200|knot: update to version 3.5.6
0ee793540|Jan Hák|Mon Jun 15 11:14:01 2026 +0200|knot: update to version 3.5.5
fd913f626|Alexandru Ardelean|Tue Jul 28 11:43:36 2026 +0300|freeradius3: fix recursive dependency from libopenssl-legacy
f67e9e588|Alexandru Ardelean|Wed Jun 3 01:48:03 2026 +0300|freeradius3: update to 3.2.10
26587c89d|Michel Promonet|Sat Jul 25 17:40:32 2026 +0200|v4l2camera: update to v0.3.2 - Sync with upstream release 0.3.2 - Fix indentation in v4l2camera.init
53c83ae1b|Josef Schlehofer|Sun Aug 9 10:56:48 2026 +0200|prosody: do not drive the service through prosodyctl
80de2df94|Josef Schlehofer|Sun Aug 9 07:38:35 2026 +0200|prosody: add test-version.sh


</details>
